subject,condition,reaction_time,first_fixation,choice
1,nine-three,0.646979999999985,nine,0
1,twelve-six,0.6140099999997801,twelve,0
1,twelve-six,0.4523999999996704,twelve,0
1,nine-three,0.501220000000103,nine,0
1,seven-one,0.40479000000004817,seven,0
1,ten-four,0.3073699999999917,ten,0
1,eleven-five,0.3886800000000221,eleven,0
1,eight-two,0.3073699999999917,eight,0
1,seven-one,0.5014599999999518,seven,0
1,ten-four,0.35595999999986816,ten,0
1,eleven-five,0.34032999999999447,eleven,0
1,eleven-five,0.2910099999999147,eleven,0
1,ten-four,0.3081099999999424,ten,0
1,seven-one,0.4526400000004287,seven,0
1,eight-two,0.3237300000000687,eight,0
1,eleven-five,0.38768999999956577,eleven,0
1,ten-four,0.35547000000042317,ten,0
1,seven-one,0.4370099999996455,one,1
1,nine-three,0.3061600000000908,nine,0
1,twelve-six,0.4370099999996455,twelve,0
1,twelve-six,0.501470000000154,twelve,0
1,nine-three,0.3076099999998405,nine,0
1,eight-two,0.437010000000555,eight,0
1,eight-two,0.4365200000002005,eight,0
1,nine-three,0.4365200000002005,nine,0
1,twelve-six,0.2749000000003434,twelve,0
1,twelve-six,0.37206999999943946,twelve,0
1,nine-three,0.34032999999999447,nine,0
1,seven-one,0.7114199999996345,seven,0
1,ten-four,0.33985000000029686,ten,0
1,eleven-five,0.3237300000000687,eleven,0
1,eight-two,0.4526400000004287,eight,0
1,seven-one,0.35547000000042317,seven,0
1,ten-four,0.37207000000034895,ten,0
1,eleven-five,0.4209000000000742,eleven,0
1,eleven-five,0.3398400000005495,eleven,0
1,ten-four,0.33984999999938736,ten,0
1,seven-one,0.40430000000014843,one,1
1,eight-two,0.37207000000034895,two,1
1,eleven-five,0.38770000000022264,five,1
1,ten-four,1.0185600000004342,four,1
1,seven-one,0.40429000000040105,one,1
1,nine-three,0.21044999999958236,nine,0
1,twelve-six,0.5493200000000797,twelve,0
1,twelve-six,0.37207000000034895,twelve,0
1,nine-three,0.43602999999984604,nine,0
1,eight-two,0.46875,two,1
2,eleven-five,0.437010000000555,eleven,0
2,ten-four,0.4370099999996455,ten,0
2,seven-one,0.6308599999993021,one,1
2,nine-three,0.3393599999999424,nine,0
2,ten-four,0.4526400000004287,ten,0
2,eleven-five,0.29052000000046974,eleven,0
2,twelve-six,0.3071300000001429,twelve,0
2,nine-three,0.6469699999997829,nine,0
2,eight-two,0.48535999999967316,eight,0
2,twelve-six,0.4531200000001263,twelve,0
2,seven-one,0.3393599999999424,seven,0
2,seven-one,0.35645000000022264,seven,0
2,twelve-six,0.4692300000006071,six,1
2,eight-two,0.4531200000001263,eight,0
2,nine-three,0.40430000000014843,nine,0
2,twelve-six,0.42040999999971973,twelve,0
2,eleven-five,0.40430000000014843,eleven,0
2,ten-four,0.38817999999992026,ten,0
2,nine-three,0.5336999999999534,nine,0
2,seven-one,0.4853499999999258,seven,0
2,ten-four,0.3076199999995879,ten,0
2,eleven-five,0.3554599999997663,eleven,0
2,eight-two,0.4370200000003024,eight,0
2,eight-two,0.4365200000002005,eight,0
2,eleven-five,0.3227500000002692,eleven,0
2,ten-four,0.4853499999999258,ten,0
2,seven-one,0.4365299999999479,seven,0
2,nine-three,0.40331999999943946,three,1
2,ten-four,0.42040999999971973,ten,0
2,eleven-five,0.6630800000002637,eleven,0
2,twelve-six,0.5502900000001318,six,1
2,nine-three,0.4526299999997718,three,1
2,eight-two,0.40380999999979394,eight,0
2,twelve-six,0.33983999999964,twelve,0
2,seven-one,0.3232399999997142,one,1
2,seven-one,0.38770000000022264,seven,0
2,twelve-six,0.3398400000005495,twelve,0
2,eight-two,0.40332000000034895,two,1
2,nine-three,0.40430000000014843,three,1
2,twelve-six,0.37206999999943946,twelve,0
2,eleven-five,0.4209000000000742,eleven,0
2,ten-four,0.42040999999971973,ten,0
2,nine-three,0.4208999999991647,nine,0
2,seven-one,0.3393499999992855,seven,0
2,ten-four,0.3559500000001208,ten,0
2,eleven-five,0.4365200000002005,eleven,0
2,eight-two,0.37207000000034895,eight,0
3,seven-one,0.5810499999997774,one,1
3,eleven-five,0.4365299999999479,eleven,0
3,nine-three,0.355710000000272,nine,0
3,seven-one,0.4204100000001745,one,1
3,eight-two,0.3237300000000687,eight,0
3,twelve-six,0.4204100000001745,twelve,0
3,eight-two,0.32348999999976513,eight,0
3,ten-four,0.5341800000001058,ten,0
3,twelve-six,0.42065999999977066,twelve,0
3,ten-four,0.42016000000012355,ten,0
3,eleven-five,0.42017000000032567,eleven,0
3,eleven-five,0.43701000000010026,eleven,0
3,ten-four,0.4206600000002254,ten,0
3,twelve-six,0.4204100000001745,twelve,0
3,ten-four,0.3395900000000438,ten,0
3,eight-two,0.436279999999897,eight,0
3,twelve-six,0.43555000000014843,twelve,0
3,eight-two,0.43604000000004817,eight,0
3,seven-one,0.4204100000001745,seven,0
3,nine-three,0.6940899999999601,nine,0
3,eleven-five,0.5488299999997253,eleven,0
3,seven-one,0.3886800000000221,seven,0
3,nine-three,0.5988800000000083,nine,0
3,nine-three,0.2748999999998887,nine,0
3,seven-one,0.485110000000077,seven,0
3,eleven-five,0.4042999999996937,eleven,0
3,nine-three,0.4206500000000233,nine,0
3,seven-one,0.4372600000001512,seven,0
3,eight-two,0.371820000000298,eight,0
3,twelve-six,0.5498099999999795,twelve,0
3,eight-two,0.4367699999997967,eight,0
3,ten-four,0.38794000000007145,ten,0
3,twelve-six,0.3884299999999712,twelve,0
3,ten-four,0.32348999999976513,ten,0
3,eleven-five,0.37158999999974185,eleven,0
3,eleven-five,0.43724999999994907,eleven,0
3,ten-four,0.2905300000002171,ten,0
3,twelve-six,0.24315999999998894,twelve,0
3,ten-four,0.5341800000001058,ten,0
3,eight-two,0.46923999999989974,eight,0
3,twelve-six,0.4038100000002487,twelve,0
3,eight-two,0.4040599999998449,eight,0
3,seven-one,0.3395999999997912,seven,0
3,nine-three,0.4204100000001745,nine,0
3,eleven-five,0.48462000000017724,eleven,0
3,seven-one,0.4042899999999463,seven,0
3,nine-three,0.3234900000002199,nine,0
4,seven-one,0.4365199999997458,one,1
4,eight-two,0.3073699999999917,eight,0
4,eleven-five,0.16187000000036278,eleven,0
4,seven-one,0.43676000000004933,seven,0
4,eleven-five,0.3559600000003229,eleven,0
4,eight-two,0.6950600000000122,eight,0
4,ten-four,0.40453999999999724,ten,0
4,twelve-six,0.355710000000272,twelve,0
4,nine-three,0.33983999999964,nine,0
4,twelve-six,0.2104500000000371,twelve,0
4,twelve-six,0.43677000000025146,twelve,0
4,nine-three,0.29149999999981446,nine,0
4,twelve-six,0.46923999999989974,twelve,0
4,nine-three,0.3562000000001717,nine,0
4,ten-four,0.4201699999998709,ten,0
4,eight-two,0.38794000000007145,eight,0
4,eleven-five,0.4365199999997458,eleven,0
4,seven-one,0.6630900000000111,seven,0
4,eleven-five,0.38866999999982,eleven,0
4,eight-two,0.35595999999986816,eight,0
4,seven-one,0.45337000000017724,seven,0
4,ten-four,0.4040500000000975,ten,0
4,ten-four,0.33985000000029686,ten,0
4,seven-one,0.3718300000000454,seven,0
4,eleven-five,0.32348999999976513,eleven,0
4,seven-one,0.37157999999999447,seven,0
4,eleven-five,0.3552199999999175,eleven,0
4,eight-two,0.4370099999996455,eight,0
4,ten-four,0.3073699999999917,ten,0
4,nine-three,0.4206600000002254,nine,0
4,twelve-six,0.4206500000000233,twelve,0
4,nine-three,0.40477999999984604,nine,0
4,twelve-six,0.2751499999999396,twelve,0
4,twelve-six,0.3720699999998942,twelve,0
4,nine-three,0.4689899999998488,nine,0
4,twelve-six,0.5661599999998543,twelve,0
4,nine-three,0.29125999999996566,nine,0
4,ten-four,0.38794000000007145,ten,0
4,eight-two,0.5175799999997253,eight,0
4,eleven-five,0.3718300000000454,eleven,0
4,seven-one,0.5014699999996992,seven,0
4,eleven-five,0.3234900000002199,eleven,0
4,eight-two,0.25878999999986263,eight,0
4,seven-one,0.37207000000034895,seven,0
4,ten-four,0.3552199999999175,ten,0
5,eleven-five,0.40430000000014843,eleven,0
5,eleven-five,0.40430000000014843,eleven,0
5,seven-one,0.4692300000006071,seven,0
5,eight-two,0.5493100000003324,two,1
5,eight-two,0.40380999999979394,two,1
5,nine-three,0.4526399999995192,nine,0
5,twelve-six,0.5019499999998516,twelve,0
5,seven-one,0.5986400000001595,seven,0
5,twelve-six,0.4208999999991647,twelve,0
5,nine-three,0.4526399999995192,nine,0
5,ten-four,0.437010000000555,ten,0
5,ten-four,0.40429000000040105,ten,0
5,nine-three,0.38770000000022264,three,1
5,twelve-six,0.6635800000003655,twelve,0
5,seven-one,0.40429000000040105,one,1
5,twelve-six,0.5180700000000797,twelve,0
5,nine-three,0.3227500000002692,nine,0
5,eight-two,0.42040999999971973,eight,0
5,eight-two,0.3559500000001208,eight,0
5,seven-one,0.4697299999997995,seven,0
5,eleven-five,0.37157999999999447,eleven,0
5,eleven-five,0.40429999999923893,eleven,0
5,ten-four,0.3237300000000687,ten,0
